SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Vacant Land,8280 Elvaton Rd,Millersville,MD,21108,222500,,,ELVATON HEIGHTS,,40075,,127,,,Active,,,https://www.redfin.com/MD/Millersville/8280-Elvaton-Rd-21108/home/10227544,BRIGHT MLS,MDAA2055570,N,Y,39.1233143,-76.6087054
MLS Listing,,Vacant Land,7368 Furnace Branch Rd E,Glen Burnie,MD,21060,225000,,,MAXIE BROOKS PROP,,64469,,239,,,Active,,,https://www.redfin.com/MD/Glen-Burnie/7368-E-Furnace-Branch-Rd-21060/home/183174582,BRIGHT MLS,MDAA2049232,N,Y,39.1672293,-76.6050007
MLS Listing,,Vacant Land,1570 Shell Rd,Pasadena,MD,21122,225000,,,ROCK CREEK PARK,,15200,,69,,,Active,,,https://www.redfin.com/MD/Pasadena/1570-Shell-Rd-21122/home/10281048,BRIGHT MLS,MDAA2059876,N,Y,39.14981,-76.495838
MLS Listing,,Single Family Residential,307 N St SE,Glen Burnie,MD,21061,235000,2,1.0,GLEN BURNIE,818,4200,1948,20,287,,Active,,,https://www.redfin.com/MD/Glen-Burnie/307-N-St-SE-21061/home/10409651,BRIGHT MLS,MDAA2063668,N,Y,39.1590989,-76.6236999
MLS Listing,,Vacant Land,3821 Twin Oaks Dr,Edgewater,MD,21037,235000,,,PONDER COVE BEACH,,11250,,497,,,Active,,,https://www.redfin.com/MD/Edgewater/3821-Edgewater-Dr-21037/home/178536981,BRIGHT MLS,MDAA2026620,N,Y,38.9462697,-76.5726924
MLS Listing,,Single Family Residential,19 Bon Air Ave,Brooklyn,MD,21225,235000,3,1.0,ARUNDEL GARDENS,1400,5250,1953,11,168,,Pre On-Market,,,https://www.redfin.com/MD/Baltimore/19-Bon-Air-Ave-21225/home/10388128,BRIGHT MLS,MDAA2064134,N,Y,39.2127315,-76.6174208
MLS Listing,,Condo/Co-op,1907 Topango Pl,Crofton,MD,21114,237000,2,1.0,HABITAT I,882,,1973,2,269,240,Pre On-Market,July-22-2023 11:00 AM,July-22-2023 02:00 PM,https://www.redfin.com/MD/Crofton/1907-Topango-Pl-21114/home/10006942,BRIGHT MLS,MDAA2063678,N,Y,39.0140017,-76.6727739
MLS Listing,,Condo/Co-op,6503 Home Water Way #104,Glen Burnie,MD,21060,240000,2,2.0,CROMWELL FOUNTAIN,1149,,1999,1,209,245,Active,July-23-2023 11:00 AM,July-23-2023 01:00 PM,https://www.redfin.com/MD/Glen-Burnie/6503-Home-Water-Way-21060/unit-104/home/10402515,BRIGHT MLS,MDAA2064226,N,Y,39.1976134,-76.6043092
MLS Listing,,Townhouse,253 Woodoak Ct #6,Glen Burnie,MD,21061,245000,3,1.5,OAKWOOD VILLAGE CONDO,1375,,1983,8,178,145,Pre On-Market,,,https://www.redfin.com/MD/Glen-Burnie/253-Woodoak-Ct-21061/unit-6/home/12386224,BRIGHT MLS,MDAA2064510,N,Y,39.142029,-76.6237772
MLS Listing,,Vacant Land,6512 Shady Side Rd,Shady Side,MD,20764,245000,,,Shady Side,,62726,,3279,,,Active,,,https://www.redfin.com/MD/Shady-Side/6512-Shady-Side-Rd-20764/home/10477803,BRIGHT MLS,1000130897,N,Y,38.8465012,-76.5236912
